material,nominal_size,nominal_od,nominal_id,nominal_thickness,epsilon,selector_label,selector_value
Welded and Seamless Wrought Steel Pipe,30.0,30.0,28,1,0.00015,1,Wall Thickness
Welded and Seamless Wrought Steel Pipe,30.0,30.0,27.876,1.062,0.00015,1.062,Wall Thickness
Welded and Seamless Wrought Steel Pipe,30.0,30.0,27.75,1.125,0.00015,1.125,Wall Thickness
Welded and Seamless Wrought Steel Pipe,30.0,30.0,27.624,1.188,0.00015,1.188,Wall Thickness
Welded and Seamless Wrought Steel Pipe,30.0,30.0,27.5,1.25,0.00015,1.25,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.5,0.25,0.00015,0.25,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.438,0.281,0.00015,0.281,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.376,0.312,0.00015,10 / 0.312,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.312,0.344,0.00015,0.344,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.25,0.375,0.00015,STD / 0.375,Standard / Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.188,0.406,0.00015,0.406,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.124,0.438,0.00015,0.438,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31.062,0.469,0.00015,0.469,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,31,0.5,0.00015,XS / 20 / 0.5,Standard / Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.876,0.562,0.00015,0.562,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.75,0.625,0.00015,30 / 0.625,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.624,0.688,0.00015,40 / 0.688,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.5,0.75,0.00015,0.75,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.376,0.812,0.00015,0.812,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.25,0.875,0.00015,0.875,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30.124,0.938,0.00015,0.938,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,30,1,0.00015,1,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,29.876,1.062,0.00015,1.062,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,29.75,1.125,0.00015,1.125,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,29.624,1.188,0.00015,1.188,Wall Thickness
Welded and Seamless Wrought Steel Pipe,32.0,32.0,29.5,1.25,0.00015,1.25,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.5,0.25,0.00015,0.25,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.438,0.281,0.00015,0.281,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.376,0.312,0.00015,10 / 0.312,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.312,0.344,0.00015,0.344,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.25,0.375,0.00015,STD / 0.375,Standard / Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.188,0.406,0.00015,0.406,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.124,0.438,0.00015,0.438,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33.062,0.469,0.00015,0.469,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,33,0.5,0.00015,XS / 20 / 0.5,Standard / Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.876,0.562,0.00015,0.562,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.75,0.625,0.00015,30 / 0.625,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.624,0.688,0.00015,40 / 0.688,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.5,0.75,0.00015,0.75,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.376,0.812,0.00015,0.812,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.25,0.875,0.00015,0.875,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32.124,0.938,0.00015,0.938,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,32,1,0.00015,1,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,31.876,1.062,0.00015,1.062,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,31.75,1.125,0.00015,1.125,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,31.624,1.188,0.00015,1.188,Wall Thickness
Welded and Seamless Wrought Steel Pipe,34.0,34.0,31.5,1.25,0.00015,1.25,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.5,0.25,0.00015,0.25,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.438,0.281,0.00015,0.281,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.376,0.312,0.00015,10 / 0.312,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.312,0.344,0.00015,0.344,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.25,0.375,0.00015,STD / 0.375,Standard / Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.188,0.406,0.00015,0.406,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.124,0.438,0.00015,0.438,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35.062,0.469,0.00015,0.469,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,35,0.5,0.00015,XS / 20 / 0.5,Standard / Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.876,0.562,0.00015,0.562,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.75,0.625,0.00015,30 / 0.625,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.624,0.688,0.00015,0.688,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.5,0.75,0.00015,40 / 0.75,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.376,0.812,0.00015,0.812,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.25,0.875,0.00015,0.875,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34.124,0.938,0.00015,0.938,Wall Thickness
Welded and Seamless Wrought Steel Pipe,36.0,36.0,34,1,0.00015,1,Wall Thickness
Welded and Seamless Wrought Steel Pipe,0.25,0.54,0.25,0.145,0.00015,160 / 0.145,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,0.375,0.675,0.359,0.158,4.00015,160 / 0.158,Pipe Schedule / Wall Thickness
Welded and Seamless Wrought Steel Pipe,0.25,0.54,0.064,0.238,0.00015,XXS / 0.238,Standard / Wall Thickness
Welded and Seamless Wrought Steel Pipe,0.375,0.675,0.171,0.252,5.00015,XXS / 0.252,Standard / Wall Thickness
Welded and Seamless Wrought Steel Pipe,0.375,0.675,0.529,0.073,1.00015,30 / 0.073,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.125,0.405,0.307,0.049,5e-05,10S / 0.049,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.125,0.405,0.269,0.068,5e-05,40S / 0.068,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.125,0.405,0.215,0.095,5e-05,80S / 0.095,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.25,0.54,0.41,0.065,5e-05,10S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.25,0.54,0.364,0.088,5e-05,40S / 0.088,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.25,0.54,0.302,0.119,5e-05,80S / 0.119,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.375,0.675,0.545,0.065,5e-05,10S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.375,0.675,0.493,0.091,5e-05,40S / 0.091,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.375,0.675,0.423,0.126,5e-05,80S / 0.126,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.5,0.84,0.71,0.065,5e-05,5S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.5,0.84,0.674,0.083,5e-05,10S / 0.083,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.5,0.84,0.622,0.109,5e-05,40S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.5,0.84,0.546,0.147,5e-05,80S / 0.147,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.75,1.05,0.92,0.065,5e-05,5S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.75,1.05,0.884,0.083,5e-05,10S / 0.083,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.75,1.05,0.824,0.113,5e-05,40S / 0.113,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,0.75,1.05,0.742,0.154,5e-05,80S / 0.154,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.0,1.315,1.185,0.065,5e-05,5S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.0,1.315,1.097,0.109,5e-05,10S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.0,1.315,1.049,0.133,5e-05,40S / 0.133,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.0,1.315,0.957,0.179,5e-05,80S / 0.179,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.25,1.66,1.53,0.065,5e-05,5S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.25,1.66,1.442,0.109,5e-05,10S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.25,1.66,1.38,0.14,5e-05,40S / 0.14,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.25,1.66,1.278,0.191,5e-05,80S / 0.191,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.5,1.9,1.77,0.065,5e-05,5S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.5,1.9,1.682,0.109,5e-05,10S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.5,1.9,1.61,0.145,5e-05,40S / 0.145,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,1.5,1.9,1.5,0.2,5e-05,80S / 0.2,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.0,2.375,2.245,0.065,5e-05,5S / 0.065,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.0,2.375,2.157,0.109,5e-05,10S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.0,2.375,2.067,0.154,5e-05,40S / 0.154,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.0,2.375,1.939,0.218,5e-05,80S / 0.218,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.5,2.875,2.709,0.083,5e-05,5S / 0.083,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.5,2.875,2.635,0.12,5e-05,10S / 0.12,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.5,2.875,2.469,0.203,5e-05,40S / 0.203,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,2.5,2.875,2.323,0.276,5e-05,80S / 0.276,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.0,3.5,3.334,0.083,5e-05,5S / 0.083,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.0,3.5,3.26,0.12,5e-05,10S / 0.12,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.0,3.5,3.068,0.216,5e-05,40S / 0.216,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.0,3.5,2.9,0.3,5e-05,80S / 0.3,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.5,4.0,3.834,0.083,5e-05,5S / 0.083,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.5,4.0,3.76,0.12,5e-05,10S / 0.12,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.5,4.0,3.548,0.226,5e-05,40S / 0.226,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,3.5,4.0,3.364,0.318,5e-05,80S / 0.318,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,4.0,4.5,4.334,0.083,5e-05,5S / 0.083,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,4.0,4.5,4.26,0.12,5e-05,10S / 0.12,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,4.0,4.5,4.026,0.237,5e-05,40S / 0.237,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,4.0,4.5,3.826,0.337,5e-05,80S / 0.337,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,5.0,5.563,5.345,0.109,5e-05,5S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,5.0,5.563,5.295,0.134,5e-05,10S / 0.134,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,5.0,5.563,5.047,0.258,5e-05,40S / 0.258,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,5.0,5.563,4.813,0.375,5e-05,80S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,6.0,6.625,6.407,0.109,5e-05,5S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,6.0,6.625,6.357,0.134,5e-05,10S / 0.134,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,6.0,6.625,6.065,0.28,5e-05,40S / 0.28,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,6.0,6.625,5.761,0.432,5e-05,80S / 0.432,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,8.0,8.625,8.407,0.109,5e-05,5S / 0.109,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,8.0,8.625,8.329,0.148,5e-05,10S / 0.148,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,8.0,8.625,7.981,0.322,5e-05,40S / 0.322,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,8.0,8.625,7.625,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,10.0,10.75,10.482,0.134,5e-05,5S / 0.134,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,10.0,10.75,10.42,0.165,5e-05,10S / 0.165,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,10.0,10.75,10.02,0.365,5e-05,40S / 0.365,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,10.0,10.75,9.75,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,12.0,12.75,12.438,0.156,5e-05,5S / 0.156,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,12.0,12.75,12.39,0.18,5e-05,10S / 0.18,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,12.0,12.75,12,0.375,5e-05,40S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,12.0,12.75,11.75,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,14.0,14.0,13.688,0.156,5e-05,5S / 0.156,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,14.0,14.0,13.624,0.188,5e-05,10S / 0.188,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,14.0,14.0,13.25,0.375,5e-05,40S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,14.0,14.0,13,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,16.0,16.0,15.67,0.165,5e-05,5S / 0.165,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,16.0,16.0,15.624,0.188,5e-05,10S / 0.188,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,16.0,16.0,15.25,0.375,5e-05,40S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,16.0,16.0,15,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,18.0,18.0,17.67,0.165,5e-05,5S / 0.165,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,18.0,18.0,17.624,0.188,5e-05,10S / 0.188,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,18.0,18.0,17.25,0.375,5e-05,40S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,18.0,18.0,17,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,20.0,20.0,19.624,0.188,5e-05,5S / 0.188,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,20.0,20.0,19.564,0.218,5e-05,10S / 0.218,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,20.0,20.0,19.25,0.375,5e-05,40S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,20.0,20.0,19,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,22.0,22.0,21.624,0.188,5e-05,5S / 0.188,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,22.0,22.0,21.564,0.218,5e-05,10S / 0.218,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,24.0,24.0,23.564,0.218,5e-05,5S / 0.218,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,24.0,24.0,23.5,0.25,5e-05,10S / 0.25,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,24.0,24.0,23.25,0.375,5e-05,40S / 0.375,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,24.0,24.0,23,0.5,5e-05,80S / 0.5,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,30.0,30.0,29.5,0.25,5e-05,5S / 0.25,Pipe Schedule / Wall Thickness
Stainless Steel Pipe,30.0,30.0,29.376,0.312,5e-05,10S / 0.312,Pipe Schedule / Wall Thickness
DUCTILE IRON PIPE DIMENSIONS,3.0,3.96,3.46,0.25,0.00085,0.25 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,4.0,4.8,4.3,0.25,0.00085,0.25 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,6.0,6.9,6.4,0.25,0.00085,0.25 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,8.0,9.05,8.55,0.25,0.00085,0.25 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,10.0,11.1,10.58,0.26,0.00085,0.26 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,12.0,13.2,12.64,0.28,0.00085,0.28 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,14.0,15.3,14.74,0.28,0.00085,0.28 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,14.0,15.3,14.7,0.3,0.00085,0.3 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,14.0,15.3,14.68,0.31,0.00085,0.31 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,16.0,17.4,16.8,0.3,0.00085,0.3 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,16.0,17.4,16.76,0.32,0.00085,0.32 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,16.0,17.4,16.72,0.34,0.00085,0.34 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,18.0,19.5,18.88,0.31,0.00085,0.31 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,18.0,19.5,18.82,0.34,0.00085,0.34 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,18.0,19.5,18.78,0.36,0.00085,0.36 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,20.0,21.6,20.94,0.33,0.00085,0.33 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,20.0,21.6,20.88,0.36,0.00085,0.36 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,20.0,21.6,20.84,0.38,0.00085,0.38 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,24.0,25.8,25.14,0.33,0.00085,0.33 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,24.0,25.8,25.06,0.37,0.00085,0.37 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,24.0,25.8,25,0.4,0.00085,0.4 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,24.0,25.8,24.94,0.43,0.00085,0.43 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,30.0,32.0,31.32,0.34,0.00085,0.34 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,30.0,32.0,31.24,0.38,0.00085,0.38 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,30.0,32.0,31.16,0.42,0.00085,0.42 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,30.0,32.0,31.1,0.45,0.00085,0.45 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,30.0,32.0,31.02,0.49,0.00085,0.49 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,36.0,38.3,37.54,0.38,0.00085,0.38 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,36.0,38.3,37.46,0.42,0.00085,0.42 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,36.0,38.3,37.36,0.47,0.00085,0.47 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,36.0,38.3,37.28,0.51,0.00085,0.51 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,36.0,38.3,37.18,0.56,0.00085,0.56 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,42.0,44.5,43.68,0.41,0.00085,0.41 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,42.0,44.5,43.56,0.47,0.00085,0.47 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,42.0,44.5,43.46,0.52,0.00085,0.52 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,42.0,44.5,43.36,0.57,0.00085,0.57 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,42.0,44.5,43.24,0.63,0.00085,0.63 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,48.0,50.8,49.88,0.46,0.00085,0.46 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,48.0,50.8,49.76,0.52,0.00085,0.52 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,48.0,50.8,49.64,0.58,0.00085,0.58 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,48.0,50.8,49.52,0.64,0.00085,0.64 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,48.0,50.8,49.4,0.7,0.00085,0.7 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,54.0,57.56,56.54,0.51,0.00085,0.51 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,54.0,57.56,56.4,0.58,0.00085,0.58 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,54.0,57.56,56.26,0.65,0.00085,0.65 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,54.0,57.56,56.12,0.72,0.00085,0.72 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,54.0,57.56,55.98,0.79,0.00085,0.79 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,60.0,61.61,60.53,0.54,0.00085,0.54 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,60.0,61.61,60.39,0.61,0.00085,0.61 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,60.0,61.61,60.25,0.68,0.00085,0.68 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,60.0,61.61,60.09,0.76,0.00085,0.76 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,60.0,61.61,59.95,0.83,0.00085,0.83 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,64.0,65.67,64.55,0.56,0.00085,0.56 / 150,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,64.0,65.67,64.39,0.64,0.00085,0.64 / 200,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,64.0,65.67,64.23,0.72,0.00085,0.72 / 250,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,64.0,65.67,64.07,0.8,0.00085,0.8 / 300,Wall Thickness / THICKNESS/ PRESSURE CLASS
DUCTILE IRON PIPE DIMENSIONS,64.0,65.67,63.93,0.87,0.00085,0.87 / 350,Wall Thickness / THICKNESS/ PRESSURE CLASS
ALUMINUM-ALLOY EXTRUDED PIPE,0.125,0.405,0.269,0.068,6.8e-06,40 / 0.068,Pipe Schedule / Wall Thickness
ALUMINUM-ALLOY EXTRUDED PIPE,0.125,0.405,0.215,0.095,6.8e-06,80 / 0.095,Pipe Schedule / Wall Thickness
ALUMINUM-ALLOY EXTRUDED PIPE,0.25,0.54,0.364,0.088,6.8e-06,40 / 0.088,Pipe Schedule / Wall Thickness
